trial,mode,seed,cycles,burst_prob,burst_scale,drift_rate,noise_scale,shock_prob,shock_scale,admissions,denials,latch_events,first_latch_cycle,intervention_precision,resid_p95,resid_p99
13,scout_v2,102989,738,0.11228822544558233,3.1854680272649984,0.00011690998700975453,0.10318840286320054,0.019464699089502515,4.553454886278509,88,650,650,0,0.4583333333333333,0.8,0.8
14,raw_v2,110908,806,0.017930367788094412,2.3461494354537873,0.00045133287230461285,0.04046329013975056,0.0022482970770075707,6.6570086341237795,180,626,626,0,0.0,1.0419647998348744,1.0712234780766519
14,scout_v2,110908,806,0.017930367788094412,2.3461494354537873,0.00045133287230461285,0.04046329013975056,0.0022482970770075707,6.6570086341237795,179,627,627,0,0.5714285714285714,0.8,0.8
15,raw_v2,118827,1655,0.0755954787399006,3.784904287176289,0.017705455878638858,0.18335237666095727,3.58221983245266e-05,3.432980617083998,43,1612,1612,0,0.0,1.7341743150715363,2.3063721317803063
15,scout_v2,118827,1655,0.0755954787399006,3.784904287176289,0.017705455878638858,0.18335237666095727,3.58221983245266e-05,3.432980617083998,43,1612,1612,0,0.1518987341772152,0.8,0.8
16,raw_v2,126746,856,0.07940801646367039,1.207194994604078,0.007707061387150623,0.03688836170476393,0.012828187744782771,3.9786624024070805,192,664,664,0,0.0,1.0407795886511204,1.0697834894129046
16,scout_v2,126746,856,0.07940801646367039,1.207194994604078,0.007707061387150623,0.03688836170476393,0.012828187744782771,3.9786624024070805,192,664,664,0,0.5376344086021505,0.8,0.8
17,raw_v2,134665,1456,0.03466430043293882,3.6214079614556214,0.008944100731099023,0.043304600646088445,0.01674154012948405,6.093626953583338,307,1149,1149,0,0.0,1.0590951402864628,1.2533591147953334
17,scout_v2,134665,1456,0.03466430043293882,3.6214079614556214,0.008944100731099023,0.043304600646088445,0.01674154012948405,6.093626953583338,307,1149,1149,0,0.5394736842105263,0.8,0.8
18,raw_v2,142584,1793,0.06394118200797683,2.8295332327121336,0.018711934550913994,0.19717449905872617,0.014414016381322867,3.2291384976043513,31,1762,1762,0,0.0,1.568429821850784,2.1320214617069198
